id,Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17,action,video_src
2701,615,94,574,133,563,133,656,168,734,180,NULL,NULL,NULL,NULL,NULL,NULL,553,325,563,407,NULL,NULL,553,317,NULL,NULL,NULL,NULL,605,86,610,82,584,86,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2702,594,67,579,110,579,110,677,157,749,168,NULL,NULL,NULL,NULL,NULL,NULL,584,290,589,407,NULL,NULL,563,282,NULL,NULL,NULL,NULL,605,59,NULL,NULL,610,67,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2703,651,51,605,82,599,90,687,153,754,180,605,74,NULL,NULL,NULL,NULL,599,274,620,368,615,423,579,274,599,376,610,423,641,43,NULL,NULL,620,43,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2704,667,35,620,74,615,82,687,157,749,207,620,67,NULL,NULL,NULL,NULL,625,262,651,344,651,399,589,262,630,360,651,403,661,27,667,31,636,23,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2705,682,31,636,59,636,67,677,168,729,235,636,55,NULL,NULL,NULL,NULL,641,250,NULL,NULL,NULL,NULL,610,250,656,360,667,387,677,23,NULL,NULL,656,20,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2706,703,23,656,70,651,70,667,157,687,254,667,67,672,160,698,254,656,215,641,262,692,376,646,219,625,262,677,360,703,20,NULL,NULL,651,16,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2707,723,27,682,78,672,78,661,149,651,247,692,82,NULL,NULL,NULL,NULL,672,227,729,395,651,489,677,227,729,391,651,497,718,23,729,27,692,20,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2708,744,31,703,78,698,82,656,145,615,239,708,82,667,145,625,235,703,258,749,403,703,520,682,258,718,399,698,520,744,27,NULL,NULL,708,20,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2709,760,51,734,86,723,86,651,145,605,227,739,82,NULL,NULL,NULL,NULL,718,274,765,403,765,485,692,270,734,399,744,528,754,47,NULL,NULL,734,39,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2710,806,74,734,133,718,125,656,160,605,231,739,125,NULL,NULL,NULL,NULL,734,297,780,427,780,552,708,293,744,427,775,560,796,63,NULL,NULL,749,59,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2711,816,98,754,137,754,137,692,200,641,266,765,133,NULL,NULL,NULL,NULL,749,321,801,458,827,610,723,321,775,454,816,603,811,86,NULL,NULL,775,86,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2712,837,129,780,168,775,172,734,243,692,305,780,164,NULL,NULL,NULL,NULL,729,317,739,372,842,626,765,325,749,372,NULL,NULL,832,117,NULL,NULL,796,113,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2713,847,137,791,207,801,211,775,309,765,387,780,200,NULL,NULL,NULL,NULL,760,387,868,505,847,642,734,376,NULL,NULL,NULL,NULL,842,121,NULL,NULL,801,141,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2714,863,192,806,235,822,239,822,329,842,434,796,227,NULL,NULL,NULL,NULL,780,411,884,520,847,638,734,411,837,528,822,622,858,180,NULL,NULL,822,176,NULL,NULL,"jump forward","Double Forward Jump _ By MovNat.mp4"
2715,433,141,391,207,373,211,373,305,403,372,403,207,NULL,NULL,NULL,NULL,391,372,403,493,379,618,421,364,409,489,373,622,421,133,433,133,385,137,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2716,433,141,391,207,373,211,379,301,415,372,403,207,NULL,NULL,NULL,NULL,391,368,403,493,379,618,409,360,403,489,373,622,421,133,433,133,385,141,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2717,433,141,391,207,379,211,373,290,427,364,403,203,NULL,NULL,NULL,NULL,391,368,403,493,385,618,409,364,403,493,367,622,421,133,433,133,385,141,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2718,433,141,391,207,373,207,379,290,439,356,403,203,NULL,NULL,NULL,NULL,391,364,403,493,385,614,415,360,403,493,367,622,421,133,433,133,391,137,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2719,439,145,391,203,379,207,379,290,456,340,403,203,NULL,NULL,NULL,NULL,391,360,409,493,385,614,421,360,403,489,373,618,427,133,433,133,391,141,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2720,439,145,391,203,379,207,391,286,474,325,403,200,NULL,NULL,NULL,NULL,391,368,409,493,385,614,397,368,403,493,367,618,427,133,439,133,391,141,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2721,444,145,391,203,379,203,403,286,480,317,397,200,415,278,NULL,NULL,385,368,415,485,385,618,391,368,415,485,373,618,433,137,439,137,397,141,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2722,444,149,391,203,385,203,409,286,480,321,403,200,415,274,NULL,NULL,385,372,409,485,379,618,385,372,421,485,379,618,439,137,444,137,403,141,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2723,450,153,397,211,385,211,409,290,480,337,409,207,421,282,NULL,NULL,379,372,409,489,379,618,385,368,427,489,379,618,439,141,450,145,403,145,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2724,456,160,403,215,391,215,403,297,468,360,409,211,421,290,NULL,NULL,379,368,415,493,379,618,391,372,433,493,379,618,444,149,456,149,409,149,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2725,468,168,409,219,391,223,391,309,444,380,421,219,427,309,456,372,379,376,421,497,373,618,385,380,421,497,379,618,456,157,462,157,421,157,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2726,474,176,415,231,397,231,379,317,415,391,427,231,421,321,444,391,379,391,427,497,373,618,403,395,427,497,373,618,468,168,474,168,433,168,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2727,486,192,421,243,403,243,361,329,350,415,439,239,415,337,433,395,373,399,433,501,373,618,403,399,433,497,373,618,480,180,492,184,444,180,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2728,498,211,427,254,409,258,350,333,314,407,444,254,409,352,421,391,373,407,433,501,367,622,385,403,415,497,379,618,492,200,498,200,456,196,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2729,510,227,433,266,415,266,350,329,284,391,450,266,NULL,NULL,NULL,NULL,356,407,433,505,367,626,379,407,427,501,379,618,504,215,NULL,NULL,462,215,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2730,516,247,444,286,421,282,344,329,261,376,462,290,NULL,NULL,NULL,NULL,350,419,433,505,367,626,373,419,427,497,379,618,516,239,NULL,NULL,474,235,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2731,527,270,450,301,427,297,350,325,255,356,480,305,NULL,NULL,NULL,NULL,344,419,439,505,361,626,379,423,433,497,379,618,521,258,533,262,486,258,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2732,533,290,456,317,433,313,356,329,261,337,480,325,NULL,NULL,NULL,NULL,338,427,439,505,361,626,379,427,444,497,379,618,527,278,NULL,NULL,486,282,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2733,533,313,462,337,433,333,356,337,267,329,486,344,NULL,NULL,NULL,NULL,338,438,444,505,361,626,379,438,439,497,379,618,527,301,NULL,NULL,492,301,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2734,545,333,462,356,439,348,361,340,279,325,492,360,NULL,NULL,NULL,NULL,326,446,439,509,361,626,385,446,450,497,379,618,539,321,NULL,NULL,498,317,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2735,545,348,468,368,439,360,367,352,284,329,498,376,NULL,NULL,NULL,NULL,332,454,439,513,361,626,397,454,462,497,373,618,539,337,545,337,504,333,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2736,551,356,468,383,444,376,367,364,290,340,498,387,NULL,NULL,NULL,NULL,338,458,444,513,361,630,397,462,462,497,373,622,545,344,NULL,NULL,504,344,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2737,557,364,468,391,444,383,373,380,290,360,498,399,391,387,NULL,NULL,338,462,450,517,361,626,397,462,462,505,373,622,551,352,557,352,510,352,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2738,563,364,480,387,456,383,373,399,290,387,504,391,397,403,308,391,350,458,456,520,361,626,403,458,468,505,367,618,557,352,563,352,516,352,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2739,569,352,480,387,468,387,379,415,296,434,504,383,NULL,NULL,NULL,NULL,350,466,456,520,367,626,391,466,468,513,367,622,557,340,563,344,521,344,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2740,569,340,492,376,474,376,391,438,326,477,510,376,450,462,NULL,NULL,373,477,462,524,367,626,403,470,456,517,367,622,563,329,569,333,527,333,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2741,575,329,492,364,486,368,427,442,373,513,510,364,486,458,492,509,373,473,456,536,367,626,415,477,468,528,373,622,569,317,575,317,533,321,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2742,581,313,498,356,486,360,468,434,NULL,NULL,516,356,516,434,533,505,391,454,456,536,367,626,421,458,456,532,373,618,575,301,581,301,539,305,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2743,587,297,510,340,504,344,498,430,533,517,521,340,533,419,581,477,397,442,474,532,367,626,409,442,450,532,373,618,575,286,587,286,545,290,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2744,593,282,521,321,516,325,533,411,604,466,527,317,563,395,628,442,409,430,474,532,367,626,433,434,450,528,NULL,NULL,581,270,587,274,551,270,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2745,599,258,533,305,527,309,587,383,664,407,551,305,593,372,652,387,403,427,474,536,367,626,444,434,480,528,373,618,587,247,604,250,557,254,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2746,610,239,551,286,539,286,616,352,693,344,575,286,616,340,676,337,421,415,474,532,367,622,456,423,474,528,379,618,599,231,610,231,569,235,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2747,622,211,569,258,569,262,628,317,693,297,575,254,616,301,664,293,456,395,474,528,367,622,486,399,480,528,379,618,610,200,622,200,581,203,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2748,640,188,581,231,581,235,640,290,705,262,581,227,628,286,670,274,504,372,480,513,379,607,516,372,486,513,397,607,628,180,640,180,593,180,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2749,652,168,593,207,593,211,628,270,699,258,587,200,634,266,681,262,527,360,504,493,409,583,545,364,510,493,421,583,646,157,652,157,610,157,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2750,664,157,604,188,604,188,622,258,699,258,599,184,628,250,693,258,563,340,539,477,439,563,569,340,539,477,450,560,658,141,NULL,NULL,628,137,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2751,687,141,622,180,622,180,616,258,693,270,628,172,628,247,681,266,581,325,575,466,474,540,593,325,581,462,480,536,681,129,687,133,646,125,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2752,705,129,640,172,634,176,610,250,687,290,652,168,NULL,NULL,NULL,NULL,599,325,616,454,510,536,604,325,610,450,510,528,699,121,711,121,664,117,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2753,729,129,658,164,652,168,616,235,658,309,670,164,NULL,NULL,NULL,NULL,610,313,652,446,557,536,634,313,640,442,557,524,723,117,735,117,687,113,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2754,753,133,681,164,676,168,628,239,628,317,693,160,NULL,NULL,NULL,NULL,640,321,681,438,604,552,652,313,676,438,604,544,753,121,NULL,NULL,711,113,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2755,776,137,705,172,693,172,628,235,599,297,717,168,NULL,NULL,NULL,NULL,646,321,705,438,658,563,658,321,699,442,646,556,776,125,782,129,735,121,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2756,806,145,723,180,711,180,646,215,593,270,741,180,NULL,NULL,NULL,NULL,664,325,729,442,711,579,676,325,723,442,693,563,800,133,NULL,NULL,759,129,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2757,824,157,747,192,729,184,664,211,604,254,764,188,NULL,NULL,NULL,NULL,676,333,753,442,770,591,693,337,741,446,753,579,818,145,NULL,NULL,782,141,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2758,841,176,770,196,747,196,681,215,616,243,788,200,NULL,NULL,NULL,NULL,699,293,687,352,NULL,NULL,729,309,699,360,NULL,NULL,841,164,NULL,NULL,800,157,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2759,865,188,788,215,770,211,705,231,640,250,812,215,NULL,NULL,NULL,NULL,717,329,800,470,853,595,741,340,782,466,NULL,NULL,859,176,NULL,NULL,824,172,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2760,883,207,806,239,788,235,711,258,646,278,824,239,NULL,NULL,NULL,NULL,735,383,830,481,877,610,747,387,818,477,NULL,NULL,877,196,NULL,NULL,841,196,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2761,895,227,818,262,806,262,717,301,699,352,836,258,NULL,NULL,NULL,NULL,753,399,859,493,901,626,764,399,847,489,NULL,NULL,889,215,NULL,NULL,859,211,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2762,907,243,836,290,830,293,735,364,711,395,841,282,NULL,NULL,NULL,NULL,753,423,895,497,907,626,776,423,NULL,NULL,NULL,NULL,901,231,NULL,NULL,871,235,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2763,919,262,841,309,853,321,788,403,764,462,836,297,800,399,NULL,NULL,794,454,924,497,919,626,800,450,NULL,NULL,NULL,NULL,919,250,NULL,NULL,883,254,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2764,930,282,853,329,871,333,847,419,841,509,841,321,NULL,NULL,NULL,NULL,836,470,936,501,913,622,800,466,924,501,913,622,924,270,NULL,NULL,895,274,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2765,936,297,865,340,877,348,883,446,924,497,847,337,NULL,NULL,NULL,NULL,836,485,936,513,919,622,818,489,NULL,NULL,NULL,NULL,930,290,NULL,NULL,901,290,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2766,948,313,871,364,895,368,924,462,990,497,859,356,NULL,NULL,NULL,NULL,824,501,948,513,919,622,800,501,NULL,NULL,NULL,NULL,942,305,NULL,NULL,913,305,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2767,960,329,889,376,907,383,954,462,1019,473,877,368,NULL,NULL,NULL,NULL,830,509,954,509,913,626,830,513,NULL,NULL,NULL,NULL,948,317,NULL,NULL,919,325,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2768,966,344,895,387,907,391,996,466,1043,442,889,380,NULL,NULL,NULL,NULL,836,517,960,513,913,626,830,520,948,509,913,622,960,333,NULL,NULL,924,337,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2769,978,348,907,399,924,403,1013,462,1049,415,895,387,NULL,NULL,NULL,NULL,841,528,966,517,913,626,836,532,972,509,907,622,966,340,NULL,NULL,936,344,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2770,984,352,913,399,930,403,1025,454,1049,403,901,391,NULL,NULL,NULL,NULL,841,524,966,513,913,626,841,528,972,509,913,622,978,340,NULL,NULL,942,352,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
2771,990,348,919,395,936,399,1025,450,1049,395,907,383,NULL,NULL,NULL,NULL,847,520,972,517,913,626,841,524,972,513,913,622,978,337,NULL,NULL,948,348,NULL,NULL,"jump forward","Forward Jumps CROSSMET.mp4"
